Date,US_10Y,CN10Y,Inflation_Rate,FEDFUNDS_RATE,GOLD,SP500,UNRATE,USD
2015-01-31,1.68,2.01,0.2535,0.11,1278.5,1994.989990234375,5.5,94.8000030517578
2015-02-28,2.0,2.123,0.2693951780812442,0.11,1212.5999755859375,2104.5,5.4,95.25
2015-03-31,1.94,2.152,0.1042478896158938,0.12,1183.0999755859375,2067.889892578125,5.4,98.36000061035156
2015-04-30,2.05,2.112,0.3297745341246827,0.12,1182.4000244140625,2085.510009765625,5.6,94.5999984741211
2015-05-31,2.12,2.164,0.2767920810460733,0.13,1189.4000244140625,2107.389892578125,5.3,96.91000366210938
2015-06-30,2.35,2.196,0.1586319780187306,0.13,1171.5,2063.110107421875,5.2,95.48999786376952
2015-07-31,2.2,2.305,-0.0004201080517907,0.14,1094.9000244140625,2103.840087890625,5.1,97.37000274658205
2015-08-31,2.21,2.352,-0.2247587519377591,0.14,1131.5999755859375,1972.1800537109373,5.0,95.9499969482422
2015-09-30,2.06,2.378,0.098948201669069,0.12,1115.5,1920.030029296875,5.0,96.3499984741211
2015-10-31,2.16,2.409,0.1194617491050875,0.12,1141.5,2079.360107421875,5.1,96.9499969482422
2015-11-30,2.21,2.427,-0.1075553426856057,0.24,1065.800048828125,2080.409912109375,5.0,100.16999816894533
2015-12-31,2.27,2.515,-0.0458443563073895,0.34,1060.300048828125,2043.93994140625,4.8,98.62999725341795
2016-01-31,1.94,2.609,-0.1329675323582302,0.38,1116.4000244140625,1940.239990234375,4.9,99.61000061035156
2016-02-29,1.74,2.708,0.3134796238244419,0.36,1233.9000244140625,1932.22998046875,5.0,98.20999908447266
2016-03-31,1.78,2.687,0.3830645161290169,0.37,1234.199951171875,2059.739990234375,5.1,94.58999633789062
2016-04-30,1.83,2.715,0.236409586931785,0.37,1289.199951171875,2065.300048828125,4.8,93.08000183105467
2016-05-31,1.84,2.69,0.2775957287827202,0.38,1214.800048828125,2096.949951171875,4.9,95.88999938964844
2016-06-30,1.49,2.665,-0.050370074347894,0.39,1318.4000244140625,2098.860107421875,4.8,96.13999938964844
2016-07-31,1.46,2.72,0.1849221785831689,0.4,1349.0,2173.60009765625,4.9,95.52999877929688
2016-08-31,1.58,2.748,0.2623209794425207,0.4,1306.9000244140625,2170.949951171875,5.0,96.0199966430664
2016-09-30,1.6,2.795,0.2342687497926876,0.4,1313.300048828125,2168.27001953125,4.9,95.45999908447266
2016-10-31,1.84,2.87,0.1178947716771183,0.41,1271.5,2126.14990234375,4.7,98.4499969482422
2016-11-30,2.37,2.895,0.2524522158776188,0.54,1170.800048828125,2198.81005859375,4.7,101.5
2016-12-31,2.45,2.917,0.4043076694815628,0.65,1150.0,2238.830078125,4.7,102.38999938964844
2017-01-31,2.45,2.96,0.1592657357009752,0.66,1208.5999755859375,2278.8701171875,4.6,99.51000213623048
2017-02-28,2.36,2.906,-0.0467201626189517,0.79,1252.5999755859375,2363.639892578125,4.4,101.12000274658205
2017-03-31,2.4,2.843,0.1234152821740774,0.9,1247.300048828125,2362.719970703125,4.4,100.3499984741211
2017-04-30,2.29,2.749,-0.0773977960056293,0.91,1266.0999755859375,2384.199951171875,4.4,99.0500030517578
2017-05-31,2.21,2.713,0.0651628661825221,1.04,1272.0,2411.800048828125,4.3,96.91999816894533
2017-06-30,2.31,2.656,0.0327649971535448,1.15,1240.699951171875,2423.409912109375,4.3,95.66000366210938
2017-07-31,2.3,2.79,0.3848626163288182,1.16,1266.5999755859375,2470.300048828125,4.4,92.86000061035156
2017-08-31,2.12,2.829,0.5106389920997767,1.15,1316.199951171875,2471.64990234375,4.3,92.66999816894533
2017-09-30,2.33,2.827,0.077505224501384,1.15,1281.5,2519.360107421875,4.2,93.08000183105467
2017-10-31,2.38,2.864,0.2668007428251684,1.16,1267.0,2575.260009765625,4.2,94.5500030517578
2017-11-30,2.42,2.833,0.2106889244755105,1.3,1273.199951171875,2647.580078125,4.1,93.01000213623048
2017-12-31,2.4,2.858,0.4253344363511546,1.41,1306.300048828125,2673.610107421875,4.0,92.12000274658205
2018-01-31,2.72,2.726,0.2692287600609022,1.42,1339.0,2823.81005859375,4.1,89.12999725341797
2018-02-28,2.87,2.779,0.0192362410782021,1.51,1315.5,2713.830078125,4.0,90.61000061035156
2018-03-31,2.74,2.877,0.2604406656061986,1.69,1322.800048828125,2640.8701171875,4.0,90.1500015258789
2018-04-30,2.95,2.939,0.2257949781598212,1.7,1316.199951171875,2648.050048828125,3.8,91.83999633789062
2018-05-31,2.83,2.894,0.090114517209483,1.82,1300.0999755859375,2705.27001953125,4.0,93.98999786376952
2018-06-30,2.85,2.848,0.0780820498928358,1.91,1251.300048828125,2718.3701171875,3.8,94.62999725341795
2018-07-31,2.96,2.853,0.1787320770339384,1.91,1223.699951171875,2816.2900390625,3.8,94.48999786376952
2018-08-31,2.86,3.106,0.2062281702117419,1.95,1200.300048828125,2901.52001953125,3.7,95.13999938964844
2018-09-30,3.05,3.113,0.2339580144498754,2.19,1191.5,2913.97998046875,3.8,95.19000244140624
2018-10-31,3.15,3.152,-0.0704191919991159,2.2,1212.300048828125,2711.739990234375,3.8,97.12999725341795
2018-11-30,3.01,3.226,0.0684893544581344,2.27,1220.199951171875,2760.169921875,3.9,97.2699966430664
2018-12-31,2.69,3.269,-0.0814979803534399,2.4,1278.300048828125,2506.85009765625,4.0,96.16999816894533
2019-01-31,2.63,3.253,0.3001255142321968,2.4,1319.699951171875,2704.10009765625,3.8,95.58000183105467
2019-02-28,2.73,3.145,0.3781792917230797,2.41,1312.800048828125,2784.489990234375,3.8,96.16000366210938
2019-03-31,2.41,3.313,0.3759679404743643,2.42,1293.0,2834.39990234375,3.7,97.27999877929688
2019-04-30,2.51,3.282,0.0246833285664438,2.39,1282.800048828125,2945.830078125,3.6,97.4800033569336
2019-05-31,2.14,3.245,-0.0325112810228067,2.38,1305.800048828125,2752.06005859375,3.6,97.75
2019-06-30,2.0,3.12,0.2307876166182776,2.4,1409.699951171875,2941.760009765625,3.7,96.12999725341795
2019-07-31,2.02,2.981,0.0914770017435451,2.13,1426.0999755859375,2980.3798828125,3.6,98.5199966430664
2019-08-31,1.5,3.121,0.1538846099767177,2.04,1519.0999755859375,2926.4599609375,3.5,98.91999816894533
2019-09-30,1.68,2.771,0.2827282299262768,1.83,1465.699951171875,2976.739990234375,3.6,99.37999725341795
2019-10-31,1.69,2.704,0.281542260504386,1.55,1511.4000244140625,3037.56005859375,3.6,97.3499984741211
2019-11-30,1.78,2.57,0.2912218521089249,1.55,1465.5999755859375,3140.97998046875,3.6,98.2699966430664
2019-12-31,1.92,2.741,0.1921664153423874,1.55,1519.5,3230.780029296875,3.6,96.38999938964844
2020-01-31,1.51,2.852,0.047467072130658,1.58,1582.9000244140625,3225.52001953125,3.5,97.38999938964844
2020-02-29,1.13,3.148,-0.4528447444551498,0.65,1564.0999755859375,2954.219970703125,4.4,98.12999725341795
2020-03-31,0.7,3.202,-0.7920147553434065,0.05,1583.4000244140625,2584.590087890625,14.8,99.0500030517578
2020-04-30,0.64,3.258,-0.0898325209348738,0.05,1684.199951171875,2912.429931640625,13.2,99.0199966430664
2020-05-31,0.65,3.18,0.4847499237691677,0.08,1736.9000244140625,3044.31005859375,11.0,98.33999633789062
2020-06-30,0.66,3.11,0.5096443382793581,0.09,1793.0,3100.2900390625,10.2,97.38999938964844
2020-07-31,0.55,3.029,0.3731343283582156,0.1,1962.800048828125,3271.1201171875,8.4,93.48999786376952
2020-08-31,0.72,3.201,0.2626139536318739,0.09,1967.5999755859373,3500.31005859375,7.8,92.13999938964844
2020-09-30,0.69,3.294,0.1238475828567287,0.09,1887.5,3363.0,6.9,93.88999938964844
2020-10-31,0.88,3.298,0.2274132890799363,0.09,1877.4000244140625,3269.9599609375,6.7,94.04000091552734
2020-11-30,0.84,3.43,0.4346309661148906,0.09,1775.699951171875,3621.6298828125,6.7,91.87000274658205
2020-12-31,0.93,3.168,0.226678623900467,0.09,1893.0999755859373,3756.070068359375,6.4,89.94000244140625
2021-01-31,1.11,3.112,0.3556212139095738,0.08,1847.300048828125,3714.239990234375,6.2,90.58000183105467
2021-02-28,1.44,3.155,0.4833575517978028,0.07,1728.0999755859375,3811.14990234375,6.1,90.93000030517578
2021-03-31,1.74,3.294,0.6713309948762847,0.07,1713.800048828125,3972.889892578125,6.1,93.2300033569336
2021-04-30,1.65,3.497,0.6672292545710334,0.06,1767.300048828125,4181.169921875,5.8,91.27999877929688
2021-05-31,1.58,3.603,0.8591526206762845,0.08,1902.5,4204.10986328125,5.9,90.02999877929688
2021-06-30,1.45,3.628,0.4635957297477011,0.1,1770.800048828125,4297.5,5.4,92.44000244140624
2021-07-31,1.24,3.502,0.2893754711084328,0.09,1812.5999755859373,4395.259765625,5.1,92.16999816894533
2021-08-31,1.3,3.531,0.4362937760309826,0.08,1815.0,4522.68017578125,4.7,92.62999725341795
2021-09-30,1.52,3.666,0.9439954442911348,0.08,1755.300048828125,4307.5400390625,4.5,94.25
2021-10-31,1.55,3.662,0.830295666261649,0.08,1783.0,4605.3798828125,4.2,94.12000274658205
2021-11-30,1.43,3.802,0.7108426821220482,0.08,1773.5999755859375,4567.0,3.9,95.98999786376952
2021-12-31,1.52,3.845,0.6182204083958309,0.08,1827.5,4766.18017578125,4.0,95.66999816894533
2022-01-31,1.79,4.005,0.7018425579205845,0.08,1795.0,4515.5498046875,3.8,96.54000091552734
2022-02-28,1.83,3.96,1.0340040418240992,0.2,1899.4000244140625,4373.93994140625,3.7,96.70999908447266
2022-03-31,2.32,4.031,0.3878706077567129,0.33,1949.199951171875,4530.41015625,3.7,98.30999755859376
2022-04-30,2.89,3.819,0.9415001628653163,0.77,1909.300048828125,4131.93017578125,3.6,102.95999908447266
2022-05-31,2.85,3.669,1.2952327333770608,1.21,1842.699951171875,4132.14990234375,3.6,101.75
2022-06-30,2.98,3.642,-0.0447348443769701,1.68,1804.0999755859373,3785.3798828125,3.5,104.69000244140624
2022-07-31,2.67,3.591,0.0752695463483998,2.33,1762.9000244140625,4130.2900390625,3.6,105.9000015258789
2022-08-31,3.15,3.551,0.4265454225137466,2.56,1712.800048828125,3955.0,3.5,108.6999969482422
2022-09-30,3.83,3.691,0.5256037865063456,3.08,1662.4000244140625,3585.6201171875,3.6,112.12000274658205
2022-10-31,4.1,3.439,0.244648112786483,3.78,1635.9000244140625,3871.97998046875,3.6,111.52999877929688
2022-11-30,3.68,3.326,0.0334775098088879,4.1,1746.0,4080.110107421875,3.5,105.9499969482422
2022-12-31,3.88,3.395,0.5515247249069821,4.33,1819.699951171875,3839.5,3.5,103.5199966430664
2023-01-31,3.52,3.222,0.3394839843438024,4.57,1929.5,4076.60009765625,3.6,102.0999984741211
2023-02-28,3.92,3.331,0.0553941275590608,4.65,1828.9000244140625,3970.14990234375,3.5,104.87000274658205
2023-03-31,3.48,2.861,0.4027940313549472,4.83,1969.0,4109.31005859375,3.4,102.51000213623048
2023-04-30,3.44,2.737,0.1512259870962484,5.06,1990.0999755859373,4169.47998046875,3.6,101.66999816894533
2023-05-31,3.64,2.813,0.2581466193672721,5.08,1963.9000244140625,4179.830078125,3.6,104.31999969482422
2023-06-30,3.81,2.754,0.1696815839578702,5.12,1921.0999755859373,4450.3798828125,3.5,102.91000366210938
2023-07-31,3.97,2.834,0.4999753787567895,5.33,1970.5,4588.9599609375,3.7,101.86000061035156
2023-08-31,4.09,2.99,0.4037394900339164,5.33,1938.199951171875,4507.66015625,3.8,103.62000274658205
2023-09-30,4.59,2.909,0.0907689004274958,5.33,1848.0999755859373,4288.0498046875,3.9,106.16999816894533
2023-10-31,4.88,2.943,0.1410680214397386,5.33,1985.199951171875,4193.7998046875,3.7,106.66000366210938
2023-11-30,4.37,2.98,0.2103301989373251,5.33,2038.0999755859373,4567.7998046875,3.8,103.5
2023-12-31,3.88,2.89,0.3430126159975177,5.33,2062.39990234375,4769.830078125,3.7,101.33000183105467
2024-01-31,3.99,2.87,0.3963924414288167,5.33,2048.39990234375,4845.64990234375,3.9,103.2699966430664
2024-02-29,4.25,3.08,0.3488499205844153,5.33,2045.699951171875,5096.27001953125,3.9,104.16000366210938
2024-03-31,4.2,3.13,0.2912462713108077,5.33,2217.39990234375,5254.35009765625,3.9,104.5500030517578
2024-04-30,4.69,3.34,0.0396145883916343,5.33,2291.39990234375,5035.68994140625,4.0,106.22000122070312
2024-05-31,4.51,3.52,-0.0028741138149102,5.33,2322.89990234375,5277.509765625,4.1,104.66999816894533
2024-06-30,4.36,3.52,0.1389194937581939,5.33,2327.699951171875,5460.47998046875,4.2,105.87000274658205
2024-07-31,4.09,3.61,0.1801853517281904,5.33,2426.5,5522.2998046875,4.2,104.0999984741211
2024-08-31,3.91,3.43,0.2292037398410329,5.13,2493.800048828125,5648.39990234375,4.1,101.6999969482422
2024-09-30,3.81,3.67,0.2264563237849071,4.83,2636.10009765625,5762.47998046875,4.1,100.77999877929688
2024-10-31,4.28,3.55,0.2804502414724075,4.64,2738.300048828125,5705.4501953125,4.2,103.9800033569336
2024-11-30,4.18,3.5,0.3646717164535129,4.48,2657.0,6032.3798828125,4.1,105.73999786376952
2024-12-31,4.58,3.68,0.4669351360031326,4.33,2606.10009765625,5906.93994140625,4.0,108.12999725341795
